Bitter melon,1,1,Sweet Potato,1,Squash,1,Potato,1,Onion,1,Carrot,0,0
Courgette,1,1,Tomato,1,Swiss chard,1,Squash,1,Sorrel,1,Kale,1,Corn
Fiddlehead,1,1,Spinach,1,Soybean,0,0,0,0,0,0,0,0
Orache,1,1,Spinach,1,Pea,1,Miner's lettuce,1,Lettuce,1,Beet,1,Amaranth
Wild leek,1,1,Onion,1,Leek,0,0,0,0,0,0,0,0
Azuki bean,2,1,Celery,1,Carrot,1,Broccoli,1,Bell pepper,0,0,0,0
Borage,2,1,Spinach,1,Potato,1,Leek,1,Dandelion,0,0,0,0
Nopal,2,1,Tomato,1,Radish,1,Beet,0,0,0,0,0,0
Winter melon,2,1,Broccoli Rabe,1,Broccoli,0,0,0,0,0,0,0,0
Aubergine,3,1,Tomato,1,Potato,1,Onion,1,Lentil,1,Leek,1,Eggplant
Water chestnut,3,1,Scallion,1,Onion,0,0,0,0,0,0,0,0
Taro,4,2,Potato,1,Yam,1,Sweet Potato,1,Spinach,1,Pumpkin,1,Onion
Chrysanthemum,5,4,Onion,1,Watercress,1,Spinach,1,Napa cabbage,1,Cabbage,0,0
Pearl onion,5,5,Onion,1,Turnip,1,Celery,0,0,0,0,0,0
Wakame,5,2,Scallion,1,Zucchini,1,Spinach,0,0,0,0,0,0
Purslane,6,4,Watercress,4,Cucumber,4,Arugula,3,Shallot,3,Onion,2,Lettuce
Amaranth,8,2,Lettuce,1,Zucchini,1,Swiss chard,1,Spinach,1,Potato,1,Pea
Tatsoi,10,5,Shallot,4,Spinach,3,Arugula,2,Watercress,2,Pea,2,Lettuce
Fava bean,11,3,Potato,2,Onion,2,Asparagus,1,Pea,1,Garbanzo,1,Endive
Mizuna,11,8,Shallot,6,Tatsoi,5,Watercress,4,Tomato,4,Onion,3,Spinach
Brussels sprout,14,3,Shallot,1,Yam,1,Sweet Potato,1,Spinach,1,Radicchio,1,Potato
Kombu,17,3,Spinach,3,Napa cabbage,3,Carrot,3,Cabbage,2,Onion,1,Yam
Dandelion,23,6,Mustard greens,4,Potato,4,Onion,4,Arugula,3,Swiss chard,3,Spinach
Jerusalem artichoke,29,29,Artichoke,9,Onion,8,Potato,6,Celery,2,Leek,2,Celeriac
Chicory,30,16,Endive,6,Radicchio,4,Shallot,4,Arugula,3,Tomato,3,Lettuce
Soybean,39,8,Onion,4,Spinach,3,Shallot,3,Lettuce,3,Green bean,3,Carrot
Daikon,46,37,Radish,14,Onion,14,Carrot,12,Cucumber,7,Cabbage,4,Scallion
Okra,63,35,Onion,34,Tomato,17,Corn,12,Celery,11,Bell pepper,10,Potato
Rutabaga,66,31,Potato,28,Carrot,25,Parsnip,24,Onion,18,Turnip,11,Celery
Lima Bean,70,29,Onion,24,Corn,19,Tomato,17,Bell pepper,9,Carrot,8,Celery
Mustard greens,75,18,Onion,16,Kale,14,Spinach,12,Swiss chard,9,Shallot,8,Potato
Snap pea,98,18,Onion,13,Carrot,12,Potato,12,Asparagus,10,Tomato,8,Radish
Tomatillo,120,73,Onion,33,Corn,26,Avocado,17,Tomato,10,Bell pepper,9,Pumpkin
Swiss chard,136,51,Onion,21,Tomato,13,Spinach,12,Celery,12,Mustard greens,10,Potato
Kale,157,62,Onion,27,Potato,16,Mustard greens,16,Tomato,15,Shallot,15,Celery
Cauliflower,179,42,Onion,26,Broccoli,23,Carrot,20,Tomato,19,Potato,19,Celery
Parsnip,195,73,Onion,71,Potato,71,Carrot,47,Celery,33,Turnip,25,Rutabaga
Endive,234,37,Radicchio,35,Watercress,34,Lettuce,30,Shallot,29,Onion,28,Arugula
Artichoke,267,75,Onion,53,Tomato,27,Potato,27,Bell pepper,20,Celery,12,Pea
Beet,302,98,Onion,33,Carrot,32,Potato,27,Shallot,24,Celery,19,Lettuce
Green bean,312,69,Onion,55,Tomato,41,Potato,30,Shallot,27,Carrot,24,Bell pepper
Asparagus,344,70,Onion,34,Pea,29,Shallot,28,Tomato,22,Leek,21,Potato
